domain,tld,ml_probability,y_true,ai_pred,ai_confidence,ai_risk_level,ctx_risk_score,is_ml_paradox,ai_risk_factors,ai_reasoning,correct
jltech.cn,cn,0.09286589,0,1,0.75,high,0.4708333333333334,True,"['policy:R1', 'mitigated:dangerous_tld', 'mitigated:free_ca', 'mitigated:no_org', 'mitigated:short', 'mitigated:random_pattern', 'mitigated:short_random_combo', 'mitigated:ml_paradox', 'mitigated:dv_s","The domain 'jltech.cn' has a dangerous TLD (cn) and shows signs of being short and random (6 characters, low vowel ratio 0.17, high entropy 2.58). However, the contextual risk score (0.47) is below 0.65, and there is no brand detection. The ML probability (0.09) is low, and the certificate is a free",False
volez.cn,cn,0.22483964,1,1,0.75,high,0.42,False,"['policy:R2', 'mitigated:dangerous_tld', 'mitigated:short', 'mitigated:free_ca', 'mitigated:no_org', 'mitigated:ml_paradox_medium', 'mitigated:dv_suspicious_combo']","The domain volez.cn has a dangerous TLD (cn) and is short (5 characters), which are risk factors. However, the contextual risk score is 0.42, below the 0.65 threshold for automatic phishing detection. The ML probability is 0.22, which is below 0.25, so we are conservative. The domain is not a known ",True
rptcaf.cn,cn,0.070675135,0,1,0.75,high,0.4708333333333334,True,"['policy:R1', 'mitigated:dangerous_tld', 'mitigated:short', 'mitigated:random_pattern', 'mitigated:ml_paradox', 'mitigated:dv_suspicious_combo']","The domain 'rptcaf.cn' has a short length (6 characters), dangerous TLD (.cn), and shows signs of random pattern with low vowel ratio (0.17). However, the contextual risk score (0.47) is below 0.65, and there is no brand detection. The ML probability (0.07) is low, and the certificate is a free DV c",False
tanxa.cn,cn,0.28608513,1,1,0.75,high,0.42,False,"['policy:R2', 'mitigated:dangerous_tld', 'mitigated:short']","The domain 'tanxa.cn' has a dangerous TLD (cn) and is short (5 characters), but no brand elements were detected. The ML score (0.286) is below 0.5, and the contextual risk score (0.42) is below 0.65. The 'ml_paradox_medium' and 'dv_suspicious_combo' signals are present but not strong enough to overr",True
5ikjskj7.lat,lat,0.0902174,1,1,0.75,high,0.4591666666666667,True,"['policy:R1', 'mitigated:dangerous_tld', 'mitigated:random_pattern', 'mitigated:free_ca', 'mitigated:no_org']","The domain 5ikjskj7.lat has a dangerous TLD (lat) and shows random pattern characteristics (high entropy, low vowel ratio). However, the contextual risk score (0.459) is below 0.50, and there is no brand detection. The ML probability (0.09) is low, and the certificate is a free CA with no organizati",True
socialnews.xyz,xyz,0.2797959,0,1,0.75,high,0.42,False,"['policy:R2', 'mitigated:dangerous_tld', 'mitigated:free_ca', 'mitigated:no_org', 'mitigated:dv_suspicious_combo']","The domain socialnews.xyz has a dangerous TLD (xyz) and shows signs of a DV certificate from Let's Encrypt with no organization information (free_ca, no_org). However, the contextual risk score is 0.42, which is below the 0.65 threshold for automatic phishing detection. The ML probability is 0.2798,",False
disposable-masks.xyz,xyz,0.2713139,0,1,0.75,high,0.42,False,"['policy:R2', 'mitigated:dangerous_tld', 'mitigated:free_ca', 'mitigated:no_org']","The domain disposable-masks.xyz has a dangerous TLD (xyz) and shows signs of a DV certificate from Let's Encrypt with no organization information (free_ca, no_org). However, the contextual risk score is 0.42, which is below the 0.65 threshold for automatic phishing detection. The ML probability is 0",False
insurance201992025.xyz,xyz,0.13999997,0,0,0.75,medium,0.3225,False,"['mitigated:dangerous_tld', 'mitigated:no_cert', 'mitigated:ml_paradox_medium']","The domain 'insurance201992025.xyz' has a dangerous TLD (xyz) and a low ML probability (0.14), but the contextual risk score (0.32) is below the 0.65 threshold for automatic phishing detection. The domain shows no brand elements (brand_detected: false), no certificate (no_cert), and a high entropy (",True
wf12349.com.cn,cn,0.12483746,1,0,0.85,low,0.07951019033333333,False,"['mitigated:high_digit_ratio', 'mitigated:no_cert']","The domain 'wf12349.com.cn' has a low ML probability (0.125) and contextual risk score (0.08) below 0.50. There are no detected brands, and the certificate issues show no valid certificate (has_cert: false). The domain has a normal length (7 characters) but high digit ratio (71%) and zero vowel rati",False
pokerdom-cm7.xyz,xyz,0.2471675,0,1,0.75,high,0.42,False,"['policy:R2', 'mitigated:dangerous_tld', 'mitigated:dv_suspicious_combo', 'mitigated:free_ca', 'mitigated:no_org']","The domain 'pokerdom-cm7.xyz' has a dangerous TLD (xyz) and shows signs of a DV certificate from Let's Encrypt with no organization information (free_ca, no_org). However, the contextual risk score (0.42) is below the 0.65 threshold for automatic phishing detection. The ML probability (0.247) is bel",False
seasidesurfshop.shop,shop,0.23775956,1,1,0.75,high,0.42,False,"['policy:R2', 'mitigated:dangerous_tld', 'mitigated:dv_suspicious_combo']","The domain 'seasidesurfshop.shop' has a dangerous TLD (shop) and shows signs of a DV certificate from Let's Encrypt with free CA and no org, which are risk factors. However, the contextual risk score is 0.42 (below 0.50), and there is no brand detection. The ML probability is 0.237 (low) and the dom",True
d14yivgrx6.icu,icu,0.23736905,1,1,0.75,high,0.42,False,"['policy:R2', 'mitigated:dangerous_tld', 'mitigated:random_pattern', 'mitigated:free_ca', 'mitigated:no_org']","The domain d14yivgrx6.icu has a dangerous TLD (icu) and shows signs of a random pattern (high entropy, low vowel ratio), but the contextual risk score (0.42) is below 0.65 and the ML probability (0.237) is below 0.25. The presence of a free CA certificate (Let's Encrypt) with no organization is note",True
rqhl.cn,cn,0.24752627,1,1,0.75,high,0.42,False,"['policy:R2', 'mitigated:dangerous_tld', 'mitigated:short', 'mitigated:random_pattern', 'mitigated:ml_paradox_medium', 'mitigated:dv_suspicious_combo']","The domain 'rqhl.cn' has a short length (4 characters), dangerous TLD (.cn), and shows signs of random pattern with zero vowels and digits. However, the contextual risk score (0.42) is below 0.50, and there is no brand detection. The ML probability (0.2475) is below 0.25, and the TLD category is dan",True
3tdvt.lat,lat,0.1372588,1,1,0.75,high,0.4708333333333334,True,"['policy:R1', 'mitigated:short', 'mitigated:dangerous_tld', 'mitigated:random_pattern']","The domain 3tdvt.lat has a short length (5 characters), dangerous TLD (lat), and shows random pattern characteristics. However, the contextual risk score (0.47) is below 0.65, and there is no brand detection. The ML probability (0.137) is low, and the domain does not have strong independent evidence",True
cvioz.cn,cn,0.05698232,1,1,0.75,high,0.4475,True,"['policy:R1', 'mitigated:dangerous_tld', 'mitigated:short', 'mitigated:free_ca', 'mitigated:no_org', 'mitigated:dv_suspicious_combo', 'mitigated:ml_paradox']","The domain cvioz.cn has a dangerous TLD (cn) and is short (5 characters), but no brand elements were detected. The ML score is 0.05698232 (very low) and contextual risk score is 0.4475, which is below the 0.65 threshold for automatic phishing detection. The tool signals show a free CA certificate wi",True
cytpharm.shop,shop,0.08579586,0,1,0.75,high,0.4591666666666667,True,"['policy:R1', 'mitigated:dangerous_tld', 'mitigated:random_pattern', 'mitigated:free_ca', 'mitigated:no_org']","The domain cytpharm.shop has a dangerous TLD (shop) and shows signs of a random pattern (low vowel ratio, high entropy). However, the contextual risk score (0.459) is below 0.65, and there is no brand detection. The ML probability (0.085) is low, and the certificate is a free CA with no organization",False
metforminv.shop,shop,0.06628016,0,1,0.75,high,0.4358333333333334,True,"['policy:R1', 'mitigated:dangerous_tld', 'mitigated:dv_suspicious_combo', 'mitigated:free_ca', 'mitigated:no_org']","The domain 'metforminv.shop' has a dangerous TLD (shop) and shows signs of a DV certificate from Let's Encrypt with no organization information (free_ca, no_org). However, the contextual risk score (0.4358) is below 0.50, and there are no detected brands. The ml_probability (0.066) is low, and the d",False
heyday.xyz,xyz,0.072148666,0,0,0.75,medium,0.31783333333333336,False,"['mitigated:dangerous_tld', 'mitigated:short']","The domain 'heyday.xyz' has a dangerous TLD (xyz) and is short (6 characters), which are risk factors but not sufficient alone to classify as phishing. The ML probability is 0.072 (very low), and the contextual risk score is 0.318 (below 0.65), so no automatic phishing trigger. The 'ml_paradox_mediu",True
bollywoodcasino-play.online,online,0.08440278,0,1,0.75,high,0.4358333333333334,True,"['policy:R1', 'mitigated:dangerous_tld', 'mitigated:free_ca', 'mitigated:no_org']","The domain 'bollywoodcasino-play.online' has a dangerous TLD ('online') and a free DV certificate from Let's Encrypt with no organization information, which are concerning signals. However, the contextual risk score (0.4358) is below 0.50, and there is no brand detection. The ML probability (0.0844)",False
dnbgyiengh.top,top,0.13099638,1,1,0.75,high,0.4358333333333334,True,"['policy:R1', 'mitigated:dangerous_tld', 'mitigated:dv_suspicious_combo', 'mitigated:free_ca', 'mitigated:no_org']","The domain dnbgyiengh.top has a dangerous TLD (.top) and shows a DV certificate from Let's Encrypt with no organization information (free_ca, no_org). However, the contextual risk score is 0.4358, which is below the 0.65 threshold for automatic phishing detection. The ML probability is 0.13, which i",True
sssc.cn,cn,0.08036139,0,1,0.75,high,0.4708333333333334,True,"['policy:R1', 'mitigated:short', 'mitigated:dangerous_tld', 'mitigated:random_pattern', 'mitigated:short_random_combo']","The domain sssc.cn has a short length (4 characters), dangerous TLD (cn), and shows signs of random pattern with very low vowel and digit ratios. However, the contextual risk score (0.47) is below 0.65, and there is no brand detection. The ML probability (0.08) is low, and the domain is not in a bra",False
turb.cc,cc,0.06650946,0,1,0.85,high,0.4475,True,"['policy:R1', 'mitigated:dangerous_tld', 'mitigated:dv_suspicious_combo']","The domain 'turb.cc' has a low ML probability (0.0665) and a contextual risk score of 0.4475, which is below the 0.65 threshold for automatic phishing detection. While it shows some risk signals like 'dangerous_tld' (cc is a high-risk TLD) and 'dv_suspicious_combo' (free CA with no org), these are m",False
vpasso.top,top,0.25934905,1,1,0.75,high,0.42,False,"['policy:R2', 'mitigated:free_ca', 'mitigated:no_org', 'mitigated:dangerous_tld', 'mitigated:short', 'mitigated:ml_paradox_medium', 'mitigated:dv_suspicious_combo']","The domain vpasso.top has a dangerous TLD (.top) and is short (6 characters), which are risk factors. However, the contextual risk score (0.42) is below 0.50, and there is no brand detection. The ML probability (0.259) is below 0.25, so we cannot rely on ML alone. The presence of a free CA certifica",True
cialisonlinedrugstore.online,online,0.1400504,0,0,0.75,medium,0.3225,False,"['mitigated:dangerous_tld', 'mitigated:ml_paradox_medium', 'mitigated:no_cert']","The domain 'cialisonlinedrugstore.online' has a dangerous TLD ('online') and a low ML probability (0.14), but the contextual risk score (0.3225) is below the 0.65 threshold for automatic phishing detection. The absence of brand detection and a valid certificate (no_cert) are noted, but these are mit",True
veasf.cn,cn,0.20835146,1,1,0.75,high,0.42,False,"['policy:R2', 'mitigated:dangerous_tld', 'mitigated:short', 'mitigated:free_ca', 'mitigated:no_org', 'mitigated:dv_suspicious_combo']","The domain 'veasf.cn' has a dangerous TLD (cn) and is short (5 characters), which are risk factors. However, the contextual risk score (0.42) is below 0.50, and there is no brand detection. The ML probability (0.208) is below 0.25, and the TLD category is dangerous but not a strong enough signal alo",True
bixud.cn,cn,0.05503715,0,1,0.75,high,0.4475,True,"['policy:R1', 'mitigated:dangerous_tld', 'mitigated:short', 'mitigated:free_ca', 'mitigated:no_org', 'mitigated:ml_paradox']","The domain bixud.cn has a dangerous TLD (cn) and is short (5 characters), which are risk factors. However, the contextual risk score (0.4475) is below 0.50, and there is no brand detection. The ML probability (0.055) is low, and the certificate is a free CA with no organization (free_ca, no_org), bu",False
superbed.cn,cn,0.06263407,0,1,0.75,high,0.4358333333333334,True,"['policy:R1', 'mitigated:dangerous_tld', 'mitigated:dv_suspicious_combo', 'mitigated:free_ca', 'mitigated:no_org']","The domain superbed.cn has a dangerous TLD (cn) and shows signs of a DV certificate from Let's Encrypt with free CA and no org, which are risk factors. However, the contextual risk score is 0.4358, below the 0.65 threshold for automatic phishing detection. The ML probability is low (0.0626), and the",False
vulkan-slotmachines.top,top,0.13428684,0,1,0.75,high,0.4358333333333334,True,"['policy:R1', 'mitigated:dangerous_tld', 'mitigated:free_ca', 'mitigated:no_org', 'mitigated:dv_suspicious_combo', 'mitigated:ml_paradox']","The domain 'vulkan-slotmachines.top' has a dangerous TLD (.top) and shows signs of a DV certificate with free CA and no org, which are risk factors. However, the contextual risk score (0.4358) is below 0.65, and there is no brand detection. The ML probability (0.134) is low, and the domain does not ",False
rhbdhsc.top,top,0.117941275,0,1,0.75,high,0.4591666666666667,True,"['ml_paradox', 'dv_suspicious_combo', 'policy:R1', 'mitigated:dangerous_tld', 'mitigated:random_pattern', 'mitigated:free_ca', 'mitigated:no_org']","The domain rhbdhsc.top has a dangerous TLD (.top) and shows signs of a random pattern (high entropy, low vowel ratio). The ML score is 0.1179, which is below the threshold for automatic phishing detection. The contextual risk score is 0.459, which is below 0.65, so ML alone does not trigger phishing",False
exteriornexoaca.shop,shop,0.10931873,1,1,0.75,high,0.4358333333333334,True,"['policy:R1', 'mitigated:dangerous_tld', 'mitigated:dv_suspicious_combo']","The domain 'exteriornexoaca.shop' has a dangerous TLD (shop) and shows signs of a DV certificate with free CA and no org, which are risk factors. However, the contextual risk score is 0.4358, below the 0.65 threshold for automatic phishing detection. The ML probability is 0.109, which is low, and th",True
ouvih.cn,cn,0.21027407,1,1,0.75,high,0.42,False,"['policy:R2', 'mitigated:ml_paradox_medium', 'mitigated:dv_suspicious_combo', 'mitigated:dangerous_tld', 'mitigated:short']","The domain 'ouvih.cn' has a dangerous TLD (cn) and is short (5 characters), but lacks brand elements and has a free DV certificate from Let's Encrypt. The ML score is 0.21 (low) and contextual risk score is 0.42, which is below the 0.65 threshold for automatic phishing detection. The 'ml_paradox_med",True
gocanadapharm.shop,shop,0.06447225,0,1,0.75,high,0.4358333333333334,True,"['policy:R1', 'mitigated:dangerous_tld', 'mitigated:dv_suspicious_combo', 'mitigated:free_ca', 'mitigated:no_org']","The domain 'gocanadapharm.shop' has a dangerous TLD (shop) and shows signs of a DV certificate with free CA and no org, but the contextual risk score (0.4358) is below 0.65. The ML probability (0.0645) is low, and there are no detected brands. The risk factors 'dangerous_tld' and 'dv_suspicious_comb",False
1win1029.top,top,0.08751084,0,1,0.75,high,0.4358333333333334,True,"['policy:R1', 'mitigated:dangerous_tld', 'mitigated:dv_suspicious_combo', 'mitigated:free_ca', 'mitigated:no_org']","The domain 1win1029.top has a dangerous TLD (.top) and shows signs of a DV certificate from Let's Encrypt with no organization information (free_ca, no_org). However, the contextual risk score (0.4358) is below 0.65, and there are no detected brands. The ml_probability (0.0875) is low, and the domai",False
7vah.top,top,0.15042616,1,1,0.75,high,0.4475,True,"['ml_paradox', 'dv_suspicious_combo', 'policy:R1', 'mitigated:dangerous_tld', 'mitigated:free_ca', 'mitigated:no_org']","The domain 7vah.top has a dangerous TLD (.top) and is short (4 characters), which are risk factors. However, the ML probability is 0.15 (very low) and the contextual risk score is 0.4475, which is below the 0.65 threshold for automatic phishing detection. The ml_paradox and dv_suspicious_combo signa",True
1tftdctr2.lat,lat,0.2354559,1,1,0.75,high,0.42,False,"['policy:R2', 'mitigated:dangerous_tld', 'mitigated:random_pattern', 'mitigated:dv_suspicious_combo', 'mitigated:ml_paradox_medium']","The domain '1tftdctr2.lat' has a dangerous TLD (lat) and shows a random pattern with very low vowel ratio (0.0) and high entropy (2.64), but these signals are not sufficient to confirm phishing without corroborating evidence. The ML probability (0.235) is below 0.25 and the TLD category is 'unknown'",True
onbet246.xyz,xyz,0.07483208,0,1,0.75,high,0.4358333333333334,True,"['policy:R1', 'mitigated:dangerous_tld', 'mitigated:dv_suspicious_combo']","The domain 'onbet246.xyz' has a dangerous TLD (xyz) and a DV certificate from Let's Encrypt with no organization information, which are risk factors. However, the contextual risk score (0.4358) is below 0.50, and there is no brand detection. The ML probability (0.0748) is low, and the domain does no",False
techmix.xyz,xyz,0.08646917,0,1,0.75,high,0.4358333333333334,True,"['policy:R1', 'mitigated:dangerous_tld', 'mitigated:dv_suspicious_combo']","The domain techmix.xyz has a dangerous TLD (xyz) and shows signs of a DV certificate from Let's Encrypt with free CA and no org, which are risk factors. However, the contextual risk score (0.4358) is below 0.50, and there is no brand detection. The ML probability (0.086) is low, and the domain does ",False
estudiojuri.online,online,0.096002676,1,1,0.75,high,0.4358333333333334,True,"['policy:R1', 'mitigated:dangerous_tld', 'mitigated:free_ca', 'mitigated:no_org', 'mitigated:dv_suspicious_combo']","The domain 'estudiojuri.online' has a dangerous TLD ('online') and a free CA certificate with no organization (free_ca, no_org), which are significant risk factors. However, the contextual risk score (0.4358) is below 0.50, and there is no brand detection. The ML probability (0.096) is low, and the ",True
oioaqf.cc,cc,0.19719307,1,1,0.75,high,0.4475,True,"['policy:R1', 'mitigated:short', 'mitigated:dangerous_tld']","The domain 'oioaqf.cc' has a short length (6 characters) and a dangerous TLD (.cc), which are risk factors. However, the ML probability (0.197) is below 0.25 and the TLD category is 'unknown' (not 'dangerous'), so the context does not trigger an automatic phishing flag. The contextual risk score (0.",True
90phuttp.cc,cc,0.21384148,0,1,0.75,high,0.42,False,"['policy:R2', 'mitigated:dangerous_tld', 'mitigated:free_ca', 'mitigated:no_org', 'mitigated:ml_paradox_medium', 'mitigated:dv_suspicious_combo']","The domain 90phuttp.cc has a dangerous TLD (cc) and shows random pattern characteristics (short length, low vowel ratio, high entropy). However, the contextual risk score (0.42) is below 0.50, and there is no brand detection. The ML probability (0.21) is below 0.25, so we cannot rely on ML alone. Th",False
rgui48fio.lat,lat,0.29138973,1,1,0.75,high,0.42,False,"['policy:R2', 'mitigated:dangerous_tld', 'mitigated:dv_suspicious_combo', 'mitigated:free_ca', 'mitigated:no_org']","The domain 'rgui48fio.lat' has a dangerous TLD (lat) and shows signs of a DV certificate from Let's Encrypt with no organization (free_ca, no_org). However, the contextual risk score (0.42) is below 0.50, and there is no brand detection. The ML probability (0.29) is below 0.50, so it's not an automa",True
pnqmdib.top,top,0.26643682,1,1,0.75,high,0.42,False,"['ml_paradox_medium', 'dv_suspicious_combo', 'policy:R2', 'mitigated:dangerous_tld', 'mitigated:random_pattern', 'mitigated:free_ca', 'mitigated:no_org']","The domain 'pnqmdib.top' has a dangerous TLD (.top) and shows signs of a random pattern (low vowel ratio, short length). The ML model indicates a low probability (0.266) and the contextual risk score (0.42) is below the 0.65 threshold for automatic phishing detection. The risk factors 'ml_paradox_me",True
spellcheck.top,top,0.08416636,0,1,0.75,high,0.4358333333333334,True,"['policy:R1', 'mitigated:dangerous_tld', 'mitigated:free_ca', 'mitigated:no_org', 'mitigated:dv_suspicious_combo', 'mitigated:ml_paradox']","The domain 'spellcheck.top' has a dangerous TLD (.top) and shows a DV certificate from Let's Encrypt with free CA and no organization, which are risk factors. However, the contextual risk score (0.4358) is below 0.50, and there is no brand detection. The ML probability (0.084) is low, and the domain",False
vcsr.cn,cn,0.06933492,1,1,0.75,high,0.4708333333333334,True,"['policy:R1', 'mitigated:dangerous_tld', 'mitigated:free_ca', 'mitigated:no_org', 'mitigated:short', 'mitigated:random_pattern', 'mitigated:short_random_combo']","The domain 'vcsr.cn' has a short length (4 characters), dangerous TLD (.cn), and shows signs of random pattern with high entropy (2.0) and zero vowels/digits. However, the contextual risk score (0.47) is below 0.65 and the ML probability (0.069) is low. The presence of a free CA certificate (Google ",True
qm0fc7pv.lat,lat,0.263983,1,1,0.75,high,0.42,False,"['policy:R2', 'mitigated:dangerous_tld', 'mitigated:random_pattern', 'mitigated:free_ca', 'mitigated:no_org', 'mitigated:dv_suspicious_combo', 'mitigated:ml_paradox_medium']","The domain 'qm0fc7pv.lat' has a dangerous TLD (lat) and shows a random pattern with very low vowel ratio (0.0) and high entropy (3.0), which are concerning signals. However, the contextual risk score (0.42) is below 0.50, and there is no brand detection. The ML probability (0.26) is below 0.25, so w",True
fnopz.cn,cn,0.20097296,1,1,0.75,high,0.42,False,"['policy:R2', 'mitigated:dangerous_tld', 'mitigated:short', 'mitigated:ml_paradox_medium', 'mitigated:dv_suspicious_combo']","The domain 'fnopz.cn' has a dangerous TLD (cn) and is short (5 characters), which are risk factors. However, the contextual risk score (0.42) is below 0.50, and there is no brand detection. The ML probability (0.20) is below 0.25, and the TLD category is dangerous but not enough to trigger phishing.",True
tb3.cn,cn,0.06930493,0,1,0.85,high,0.4941666666666667,True,"['policy:R1', 'mitigated:very_short', 'mitigated:dangerous_tld', 'mitigated:random_pattern', 'mitigated:ml_paradox', 'mitigated:dv_suspicious_combo']","The domain 'tb3.cn' has a very short length (3 characters), dangerous TLD (.cn), and shows signs of random pattern with low vowel ratio (0.0). However, the contextual risk score (0.494) is below 0.65, and there is no brand detection. The ML probability (0.069) is low, and the domain is not in a bran",False
tadalafi.buzz,buzz,0.1710791,0,1,0.75,high,0.4358333333333334,True,"['policy:R1', 'mitigated:dangerous_tld', 'mitigated:free_ca', 'mitigated:no_org', 'mitigated:dv_suspicious_combo', 'mitigated:ml_paradox']","The domain 'tadalafi.buzz' has a dangerous TLD ('buzz') and shows signs of a DV certificate with free CA and no org, which are risk factors. However, the contextual risk score (0.4358) is below 0.50, and there is no brand detection. The ML probability (0.17) is low, and the domain does not exhibit a",False
3j7tvc.cn,cn,0.25898883,0,1,0.75,high,0.42,False,"['policy:R2', 'mitigated:dangerous_tld', 'mitigated:short', 'mitigated:random_pattern', 'mitigated:short_random_combo', 'mitigated:free_ca', 'mitigated:no_org', 'mitigated:dv_suspicious_combo', 'mitig","The domain 3j7tvc.cn has a short length (6 characters), dangerous TLD (cn), and shows random pattern characteristics with very low vowel ratio (0.0). However, the contextual risk score (0.42) is below 0.50, and there is no brand detection. The ML probability (0.259) is below 0.25, so we are conserva",False
mymy365.top,top,0.17191745,0,1,0.75,high,0.4591666666666667,True,"['policy:R1', 'mitigated:free_ca', 'mitigated:no_org', 'mitigated:dv_suspicious_combo', 'mitigated:dangerous_tld', 'mitigated:random_pattern']","The domain 'mymy365.top' has a dangerous TLD (.top) and shows signs of a random pattern (low vowel ratio, high digit ratio), but the contextual risk score (0.459) is below 0.65 and there is no brand detection. The ML probability (0.17) is low and the domain is not in a brand whitelist. The free CA c",False
dl-fangdi.com.cn,cn,0.2556581,0,0,0.75,low,0.31666666666666665,False,"['mitigated:free_ca', 'mitigated:no_org']","The domain dl-fangdi.com.cn has a low ML probability (0.255) and contextual risk score of 0.317, which is below the 0.50 threshold for automatic phishing classification. The domain is a legitimate Chinese domain (com.cn) with no detected brand elements. While the certificate shows free CA (ZeroSSL) ",True
suplimentemasamusculara.xyz,xyz,0.13527457,0,1,0.75,high,0.4358333333333334,True,"['policy:R1', 'mitigated:dangerous_tld', 'mitigated:dv_suspicious_combo']","The domain 'suplimentemasamusculara.xyz' has a dangerous TLD (xyz) and shows signs of a DV certificate with free CA and no org, which are risk factors. However, the contextual risk score (0.436) is below 0.50, and there is no brand detection. The ML probability (0.135) is low, and the domain does no",False
orangehat.xyz,xyz,0.11551545,0,1,0.75,high,0.6141666666666667,True,"['ml_paradox', 'policy:brand_cert_high', 'mitigated:dangerous_tld', 'mitigated:free_ca', 'mitigated:no_org', 'mitigated:dv_suspicious_combo']","The domain orangehat.xyz has a dangerous TLD (xyz) and shows multiple risk signals including ml_paradox, dangerous_tld, and dv_suspicious_combo. However, the contextual_risk_assessment.risk_score (0.614) is below the 0.65 threshold for automatic phishing detection. The brand detection shows a substr",False
zhoujcbli.shop,shop,0.25179362,1,1,0.75,high,0.42,False,"['policy:R2', 'mitigated:dangerous_tld', 'mitigated:free_ca', 'mitigated:no_org', 'mitigated:dv_suspicious_combo']","The domain 'zhoujcbli.shop' has a dangerous TLD (shop) and shows signs of a DV certificate from Let's Encrypt with no organization information (free_ca, no_org). However, the contextual risk score is 0.42, which is below the 0.65 threshold for automatic phishing detection. The ML probability is 0.25",True
dmgver.top,top,0.10273495,1,1,0.75,high,0.4708333333333334,True,"['policy:R1', 'mitigated:dangerous_tld', 'mitigated:short', 'mitigated:random_pattern', 'mitigated:short_random_combo', 'mitigated:ml_paradox', 'mitigated:dv_suspicious_combo']","The domain 'dmgver.top' has a dangerous TLD ('top') and shows signs of being short and random (6 characters, low vowel ratio 0.17, high entropy 2.58). However, the contextual risk score (0.47) is below 0.65, and there is no brand detection. The ML probability (0.10) is low, and the certificate is a ",True
smbc-cardbv.icu,icu,0.13171908,1,1,0.75,high,0.4591666666666667,True,"['policy:R1', 'mitigated:dangerous_tld', 'mitigated:random_pattern', 'mitigated:free_ca', 'mitigated:no_org', 'mitigated:dv_suspicious_combo']","The domain smbc-cardbv.icu has a dangerous TLD (icu) and shows a random pattern with low vowel ratio (0.09) and high entropy (3.1), but the contextual risk score (0.459) is below 0.65 and there is no brand detection. The ML probability (0.13) is low and the domain is not in a brand whitelist. The ri",True
ralkuten.xyz,xyz,0.21182616,1,1,0.75,high,0.5241666666666667,False,"['ml_paradox_medium', 'policy:brand_cert_high', 'mitigated:dangerous_tld', 'mitigated:free_ca', 'mitigated:no_org', 'mitigated:many_san', 'mitigated:free_ca_no_org', 'mitigated:dv_weak_identity', 'mit","The domain ralkuten.xyz has a dangerous TLD (xyz) and shows multiple risk factors including ml_paradox_medium, multiple_risk_factors, and dv_suspicious_combo. However, the contextual_risk_assessment.risk_score (0.524) is below 0.65, so is_phishing is set to false. The ml_probability (0.21) is below ",True
ovrar.cn,cn,0.056452584,1,1,0.75,high,0.4475,True,"['policy:R1', 'mitigated:dangerous_tld', 'mitigated:short', 'mitigated:free_ca', 'mitigated:no_org']","The domain 'ovrar.cn' has a dangerous TLD (cn) and is short (5 characters), but lacks brand elements and has a free CA certificate with no organization. However, the contextual risk score (0.4475) is below 0.50, and the ML probability (0.056) is low. The presence of 'ml_paradox' and 'dv_suspicious_c",True
tjdgxy.com.cn,cn,0.1966244,1,0,0.85,low,0.14681431333333333,False,"['mitigated:short', 'mitigated:random_pattern']","The domain tjdgxy.com.cn has a short length (6 characters) and shows a random pattern with very low vowel and digit ratios (0.0), indicating high entropy. However, the contextual risk score (0.147) is below 0.50, and there are no strong non-ML signals like dangerous TLD, brand impersonation, or free",False
oqjbjas.xyz,xyz,0.12543605,1,1,0.75,high,0.4358333333333334,True,"['policy:R1', 'mitigated:dangerous_tld', 'mitigated:free_ca', 'mitigated:no_org', 'mitigated:dv_suspicious_combo']","The domain 'oqjbjas.xyz' has a dangerous TLD (xyz) and shows signs of a DV certificate from Let's Encrypt with no organization (free_ca, no_org). However, the contextual risk score (0.4358) is below 0.50, and there are no detected brands. The ML probability (0.125) is low, and the domain does not ex",True
6hgs5.cc,cc,0.16809173,0,1,0.75,high,0.4883333333333334,True,"['policy:R1', 'mitigated:dangerous_tld', 'mitigated:short', 'mitigated:random_pattern', 'mitigated:free_ca', 'mitigated:no_org', 'mitigated:many_san', 'mitigated:dv_suspicious_combo']","The domain 6hgs5.cc has a short length (5 characters), dangerous TLD (.cc), and shows random pattern characteristics with very low vowel ratio (0.0). However, the contextual risk score (0.488) is below 0.65 and the ML probability (0.168) is below 0.25. The presence of a free CA certificate (Let's En",False
dvegov.cn,cn,0.17868738,1,1,0.75,high,0.4475,True,"['policy:R1', 'mitigated:short', 'mitigated:dangerous_tld']","The domain dvegov.cn has a dangerous TLD (cn) and is short (6 characters), which are risk factors but not sufficient alone to classify as phishing. The ML score (0.178) is below 0.25 and the TLD category is dangerous, so the system is conservative. The contextual risk score (0.4475) is below 0.65, s",True
reputablepharmacies.online,online,0.08188537,0,1,0.75,high,0.4358333333333334,True,"['policy:R1', 'mitigated:dangerous_tld', 'mitigated:dv_suspicious_combo']","The domain 'reputablepharmacies.online' has a contextual risk score of 0.4358, which is below the 0.65 threshold for automatic phishing classification. While it has a dangerous TLD ('online') and issues with the certificate (free CA, no org), these are mitigated by the absence of brand detection and",False
services-online.click,click,0.2886827,1,1,0.75,high,0.42,False,"['policy:R2', 'mitigated:dangerous_tld', 'mitigated:free_ca', 'mitigated:no_org', 'mitigated:ml_paradox_medium', 'mitigated:dv_suspicious_combo']","The domain 'services-online.click' has a dangerous TLD ('click') and a free CA certificate with no organization (free_ca, no_org), but these signals are mitigated by the presence of a valid DV certificate from Google Trust Services (which is common for phishing sites) and the absence of brand impers",True
